1 0 0 25.687 3.479 0.009 
9 8 2 100323 0 0 0
9 8 3 100324 0 0 0
9 9 1 100325 0 0 0
9 9 2 100326 0 0 0
9 9 3 100327 0 0 0
9 10 1 100328 0 0 0
9 10 2 100329 0 0 0
9 10 3 100330 0 0 0
9 11 1 100331 0 0 0
9 11 2 100332 0 0 0
9 11 3 100333 0 0 0
9 12 1 100334 0 0 0
9 12 2 100335 0 0 0
9 12 3 100280 0 0 0
9 13 1 100281 0 0 0
9 13 2 100282 0 0 0
9 13 3 100283 0 0 0
9 14 1 100260 0 0 0
9 14 2 100261 0 0 0
9 14 3 100262 0 0 0
9 15 1 100263 0 0 0
9 15 2 100264 0 0 0
9 15 3 100265 0 0 0
9 16 1 100266 0 0 0
9 16 2 100267 0 0 0
9 16 3 100268 0 0 0
9 17 1 100269 0 0 0
9 17 2 100270 0 0 0
9 17 3 100271 0 0 0
9 18 1 100272 0 0 0
9 18 2 100273 0 0 0
9 18 3 100274 0 0 0
9 19 1 100275 0 0 0
9 19 2 100276 0 0 0
9 19 3 100277 0 0 0
9 20 1 100278 0 0 0
9 20 2 100279 0 0 0
9 20 3 100251 0 0 0
9 21 1 100250 0 0 -90
9 21 2 101700 0 0 0
9 21 3 101699 0 0 0
9 22 1 101698 0 0 0
9 22 2 101697 0 0 0
9 22 3 101696 0 0 0
      
      
      
10 0 0 25.822 -11.789 0.009 
10 0 1 102254 4.04 0.3 0
10 0 2 102253 4.04 0.24 0
10 1 1 101690 0 0 0
10 1 2 101689 0 0 0
10 1 3 101688 0 0 0
10 2 1 101687 0 0 0
10 2 2 101686 0 0 0
10 2 3 101685 0 0 0
10 3 1 101684 0 0 0
10 3 2 100196 0 0 0
10 3 3 100197 0 0 0
10 4 1 100198 0 0 0
10 4 2 100199 0 0 0
10 4 3 100200 0 0 0
10 5 1 100201 0 0 0
10 5 2 100202 0 0 0
10 5 3 100203 0 0 0
10 6 1 100204 0 0 0
10 6 2 100205 0 0 0
10 6 3 100206 0 0 0
10 7 1 100207 0 0 0
10 7 2 100208 0 0 0
10 7 3 100209 0 0 0
10 8 1 100210 0 0 0
10 8 2 100211 0 0 0
10 8 3 100212 0 0 0
10 9 1 100213 0 0 0
10 9 2 100214 0 0 0
10 9 3 100215 0 0 0
10 10 1 100216 0 0 0
10 10 2 100217 0 0 0
10 10 3 100218 0 0 0
10 11 1 100219 0 0 0
10 11 2 100220 0 0 0
10 11 3 100221 0 0 0
10 12 1 100222 0 0 0
10 12 2 100223 0 0 0
10 12 3 100224 0 0 0
10 13 1 100225 0 0 0
10 13 2 100226 0 0 0
10 13 3 100227 0 0 0
10 14 1 100228 0 0 0
10 14 2 100229 0 0 0
10 14 3 100230 0 0 0
10 15 1 100231 0 0 0
10 15 2 100232 0 0 0
10 15 3 100233 0 0 0
10 16 1 100234 0 0 0
10 16 2 100235 0 0 0
10 16 3 100236 0 0 0
10 17 1 100237 0 0 0
10 17 2 100238 0 0 0
10 17 3 100239 0 0 0
10 18 1 100240 0 0 0
10 18 2 100241 0 0 0
10 18 3 100242 0 0 0
10 19 1 100243 0 0 0
10 19 2 100244 0 0 0
10 19 3 100245 0 0 0
10 20 1 100246 0 0 0
10 20 2 100247 0 0 0
10 20 3 100248 0 0 0
10 21 1 100249 0 0 0
10 21 2 101691 0 0 0
10 21 3 101692 0 0 0
10 22 1 101693 0 0 0
10 22 2 101694 0 0 0
10 22 3 101695 0 0 0
