QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4711 -0.71502 178.953
100321 7.45403 -0.624737 178.79
100322 11.5154 -0.0231631 178.662
100330 7.50464 0.0814448 177.54
MV_SC2005AM Start

 init 

2024-5-18_22:12:56.5707 100317 0.0190067 | 0.0183695 -0.0048802 -0.852414 | 12.2356 -0.33284 -179.873 | 12.2173 -0.32796 -179.02
2024-5-18_22:12:56.5807 100317 0.0186883 | 0.018254 -0.0040055 -0.791513 | 12.2352 -0.332046 -179.813 | 12.217 -0.32804 -179.021
2024-5-18_22:12:56.5927 100317 0.0191511 | 0.018688 -0.0041861 -0.810393 | 12.2354 -0.33231 -179.833 | 12.2167 -0.328124 -179.022
2024-5-18_22:12:56.6017 100317 0.0196229 | 0.0191062 -0.00447342 -0.849546 | 12.2356 -0.332623 -179.873 | 12.2165 -0.32815 -179.023
2024-5-18_22:12:56.6107 100317 0.0185001 | 0.0182298 -0.00315058 -0.749546 | 12.2348 -0.3313 -179.773 | 12.2165 -0.32815 -179.023
2024-5-18_22:12:56.6207 100317 0.0170246 | 0.0157074 -0.00656614 -0.870516 | 12.2356 -0.332889 -179.893 | 12.2198 -0.326322 -179.022
2024-5-18_22:12:56.6307 100317 0.0162377 | 0.0152743 -0.00550985 -0.790762 | 12.2348 -0.33183 -179.813 | 12.2195 -0.32632 -179.022
2024-5-18_22:12:56.6407 100317 0.0172116 | 0.0158946 -0.00660312 -0.871663 | 12.2351 -0.332889 -179.893 | 12.2192 -0.326286 -179.021
2024-5-18_22:12:56.6507 100317 0.0172707 | 0.0160731 -0.00631942 -0.853343 | 12.235 -0.332625 -179.873 | 12.2189 -0.326305 -179.019
2024-5-18_22:12:56.6608 100317 0.0170461 | 0.0159926 -0.0058999 -0.825215 | 12.2346 -0.332228 -179.843 | 12.2186 -0.326329 -179.017
2024-5-18_22:12:56.6717 100317 0.0176493 | 0.0164353 -0.00643273 -0.86639 | 12.2346 -0.332758 -179.883 | 12.2182 -0.326325 -179.016
2024-5-18_22:12:56.6817 100317 0.0182629 | 0.0170036 -0.00666439 -0.887783 | 12.2348 -0.333022 -179.903 | 12.2178 -0.326358 -179.015
2024-5-18_22:12:56.6907 100317 0.0184232 | 0.0171983 -0.00660565 -0.888111 | 12.2346 -0.333023 -179.903 | 12.2174 -0.326417 -179.015
2024-5-18_22:12:56.7007 100317 0.0183953 | 0.0171813 -0.00657192 -0.887742 | 12.2343 -0.333023 -179.903 | 12.2172 -0.326451 -179.015
2024-5-18_22:12:56.7127 100317 0.017672 | 0.0165576 -0.00617631 -0.857742 | 12.2337 -0.332628 -179.873 | 12.2172 -0.326451 -179.015
2024-5-18_22:12:56.7207 100317 0.0163469 | 0.0147558 -0.00703477 -0.847933 | 12.2334 -0.332496 -179.863 | 12.2187 -0.325461 -179.015
2024-5-18_22:12:56.7297 100317 0.0172417 | 0.0153812 -0.00779063 -0.907414 | 12.2336 -0.333289 -179.923 | 12.2182 -0.325498 -179.015
2024-5-18_22:12:56.7437 100317 0.0168526 | 0.0152868 -0.00709394 -0.857264 | 12.2331 -0.332629 -179.873 | 12.2178 -0.325535 -179.015
2024-5-18_22:12:56.7538 100317 0.0249696 | 0.019664 -0.0153886 358.513 | 12.237 -0.340965 179.497 | 12.2173 -0.325576 -179.015
2024-5-18_22:12:56.7607 100317 0.0178329 | 0.0159228 -0.00802969 -0.937728 | 12.2328 -0.333686 -179.953 | 12.2168 -0.325656 -179.015
2024-5-18_22:12:56.7707 100317 0.0175542 | 0.0158201 -0.0076075 -0.907756 | 12.2321 -0.333291 -179.923 | 12.2163 -0.325683 -179.015
2024-5-18_22:12:56.7807 100317 0.0171768 | 0.0156453 -0.00708981 -0.867332 | 12.2315 -0.332764 -179.883 | 12.2158 -0.325675 -179.015
2024-5-18_22:12:56.7907 100317 0.0172831 | 0.0157582 -0.00709811 -0.866799 | 12.231 -0.332765 -179.883 | 12.2153 -0.325667 -179.016
2024-5-18_22:12:56.8007 100317 0.0170372 | 0.0155464 -0.00696979 -0.856718 | 12.2305 -0.332635 -179.873 | 12.215 -0.325665 -179.016
2024-5-18_22:12:56.8127 100317 0.0171154 | 0.0153863 -0.00749667 -0.896718 | 12.2304 -0.333162 -179.913 | 12.215 -0.325665 -179.016
2024-5-18_22:12:56.8207 100317 0.0160915 | 0.0147792 -0.00636496 -0.913262 | 12.2302 -0.333557 -179.943 | 12.2154 -0.327192 -179.029
2024-5-18_22:12:56.8327 100317 0.0167276 | 0.0152431 -0.00688933 -0.952156 | 12.23 -0.334083 -179.983 | 12.2147 -0.327193 -179.031
2024-5-18_22:12:56.8407 100317 0.0161178 | 0.0149886 -0.00592663 -0.88124 | 12.2291 -0.333163 -179.913 | 12.2141 -0.327237 -179.031
2024-5-18_22:12:56.8527 100317 0.0177405 | 0.0159419 -0.00778338 358.98 | 12.2294 -0.335002 179.947 | 12.2134 -0.327219 -179.032
2024-5-18_22:12:56.8607 100317 0.0166415 | 0.0154165 -0.00626665 -0.899314 | 12.2282 -0.333427 -179.933 | 12.2128 -0.327161 -179.033
2024-5-18_22:12:56.8707 100317 0.0165423 | 0.0154411 -0.0059346 -0.888863 | 12.2275 -0.33308 -179.923 | 12.212 -0.327146 -179.034
2024-5-18_22:12:56.8807 100317 0.0172291 | 0.0159211 -0.00658492 -0.938331 | 12.2272 -0.333736 -179.973 | 12.2112 -0.327151 -179.034
