QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 26
100301 0 0 0
100302 1 0 0
100303 1 0.767 0
100304 3 0 0
100305 5 0 0
100306 7 0 0
100307 9 0 0
100308 11 0 0
100312 13 0 0
100313 15 0 0
100314 17 0 0
100315 19 0 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 5
100301 311.63 -188.393 -92.4728
100327 312.397 -188.417 -92.4406
100329 307.938 -166.365 -90.2368
100336 311.007 -208.295 -91.8847
100337 311.848 -208.317 -91.2286
MV_SC2005AM Start

 init 

2024-5-17 17:4:4.19156 100339 0.0790253 | 0.00195947 -0.079001 -0.0553668 | 311.578 -204.556 -91.8438 | 311.577 -204.477 -91.7884
2024-5-17 17:4:4.21362 100339 0.0848941 | 0.00573205 -0.0847004 -0.366548 | 311.582 -204.569 -92.1538 | 311.576 -204.484 -91.7873
2024-5-17 17:4:4.22157 100339 0.0481393 | 0.011986 -0.0466232 -0.691962 | 311.585 -204.583 -92.4238 | 311.573 -204.536 -91.7318
2024-5-17 17:4:4.23355 100339 0.0470184 | 0.0146187 -0.0446881 -0.924038 | 311.587 -204.596 -92.6538 | 311.573 -204.551 -91.7298
2024-5-17 17:4:4.24159 100339 0.0463409 | 0.0163262 -0.0433697 -1.09616 | 311.589 -204.61 -92.8238 | 311.572 -204.567 -91.7276
2024-5-17 17:4:4.25357 100339 0.0457938 | 0.0201116 -0.0411412 -1.43538 | 311.592 -204.624 -93.1638 | 311.572 -204.583 -91.7284
2024-5-17 17:4:4.26155 100339 0.0455311 | 0.0222578 -0.0397199 -1.6614 | 311.594 -204.638 -93.3938 | 311.572 -204.598 -91.7324
2024-5-17 17:4:4.27155 100339 0.0459691 | 0.026867 -0.0373005 -2.10717 | 311.598 -204.651 -93.8438 | 311.571 -204.614 -91.7366
2024-5-17 17:4:5.59355 100338 0.0755939 | -0.0213183 -0.0725256 -0.211359 | 311.501 -206.525 -92.4738 | 311.523 -206.452 -92.2624
2024-5-17 17:4:5.60255 100338 0.0816156 | -0.0234934 -0.0781612 -0.111078 | 311.499 -206.536 -92.3738 | 311.522 -206.458 -92.2627
2024-5-17 17:4:5.61154 100338 0.0907224 | -0.0225712 -0.0878698 -0.221078 | 311.5 -206.546 -92.4838 | 311.522 -206.458 -92.2627
2024-5-17 17:4:5.63355 100338 0.0598072 | -0.0183847 -0.0569114 -0.532287 | 311.503 -206.555 -92.7838 | 311.522 -206.498 -92.2515
2024-5-17 17:4:5.64163 100338 0.0574107 | -0.0147657 -0.0554793 -0.819951 | 311.507 -206.563 -93.0738 | 311.522 -206.508 -92.2538
2024-5-17 17:4:5.65357 100338 0.058261 | -0.0154569 -0.0561732 -0.807314 | 311.506 -206.574 -93.0638 | 311.521 -206.518 -92.2565
2024-5-17 17:4:5.66155 100338 0.0569029 | -0.0131095 -0.0553722 -1.01696 | 311.508 -206.584 -93.2738 | 311.521 -206.528 -92.2568
2024-5-17 17:4:5.67355 100338 0.0558794 | -0.0113604 -0.0547124 -1.18973 | 311.509 -206.593 -93.4438 | 311.521 -206.538 -92.2541
2024-5-17 17:4:5.68155 100338 0.0546684 | -0.00901875 -0.0539194 -1.41038 | 311.511 -206.602 -93.6638 | 311.52 -206.548 -92.2534
2024-5-17 17:4:5.69355 100338 0.0592796 | -0.0079015 -0.0587507 -1.53878 | 311.512 -206.612 -93.7938 | 311.52 -206.553 -92.255
2024-5-17 17:4:5.70154 100338 0.0643141 | -0.00728965 -0.0638997 -1.64613 | 311.513 -206.622 -93.9038 | 311.52 -206.558 -92.2577
2024-5-17 17:4:5.71354 100338 0.0522274 | 0.00191413 -0.0521923 -1.63174 | 311.512 -206.633 -93.8938 | 311.51 -206.58 -92.2621
2024-5-17 17:4:5.72155 100338 0.052675 | 0.00161244 -0.0526503 -1.6625 | 311.512 -206.643 -93.9238 | 311.51 -206.59 -92.2613
2024-5-17 17:4:5.73355 100338 0.0530621 | 0.0012516 -0.0530474 -1.6844 | 311.511 -206.653 -93.9438 | 311.51 -206.6 -92.2594
2024-5-17 17:4:7.06354 100337 0.0576499 | -0.0333357 -0.0470345 0.291275 | 311.45 -207.524 -92.0238 | 311.483 -207.477 -92.3151
