QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_14:15:58.321051 100325 0.007310 | 0.007302 -0.000350 -0.334380 | 7.672092 -0.259364 -4.417850 | 7.664790 -0.259014 -4.083470
2024-5-19_14:15:58.329045 100325 0.007408 | 0.007408 -0.000019 -0.343298 | 7.672038 -0.259222 -4.427850 | 7.664630 -0.259203 -4.084552
2024-5-19_14:15:58.340043 100325 0.007449 | 0.007449 -0.000073 -0.313418 | 7.672202 -0.259650 -4.397850 | 7.664752 -0.259577 -4.084433
2024-5-19_14:15:58.351108 100325 0.007445 | 0.007445 -0.000010 -0.323305 | 7.672147 -0.259507 -4.407850 | 7.664701 -0.259497 -4.084546
2024-5-19_14:15:58.357051 100325 0.007290 | 0.007275 0.000476 -0.363381 | 7.671928 -0.258936 -4.447850 | 7.664653 -0.259412 -4.084469
2024-5-19_14:15:58.370052 100325 0.007652 | 0.007638 -0.000452 -0.303270 | 7.672256 -0.259792 -4.387850 | 7.664618 -0.259340 -4.084581
2024-5-19_14:15:58.381072 100325 0.007464 | 0.007464 -0.000001 -0.343060 | 7.672038 -0.259222 -4.427850 | 7.664573 -0.259220 -4.084791
2024-5-19_14:15:58.391044 100325 0.007827 | 0.007777 -0.000883 -0.292946 | 7.672311 -0.259935 -4.377850 | 7.664535 -0.259052 -4.084905
2024-5-19_14:15:58.401043 100325 0.007664 | 0.007642 -0.000585 -0.322832 | 7.672147 -0.259507 -4.407850 | 7.664505 -0.258922 -4.085018
2024-5-19_14:15:58.410054 100325 0.007584 | 0.007575 -0.000356 -0.342429 | 7.672038 -0.259222 -4.427850 | 7.664462 -0.258866 -4.085421
2024-5-19_14:15:58.419081 100325 0.007933 | 0.007855 -0.001105 -0.292325 | 7.672311 -0.259935 -4.377850 | 7.664456 -0.258830 -4.085525
2024-5-19_14:15:58.430044 100325 0.007230 | 0.007206 0.000594 -0.374592 | 7.671874 -0.258793 -4.457850 | 7.664668 -0.259387 -4.083258
2024-5-19_14:15:58.439042 100325 0.007531 | 0.007524 -0.000328 -0.315059 | 7.672202 -0.259650 -4.397850 | 7.664678 -0.259321 -4.082792
2024-5-19_14:15:58.450068 100325 0.007395 | 0.007395 0.000046 -0.345137 | 7.672038 -0.259222 -4.427850 | 7.664642 -0.259268 -4.082713
2024-5-19_14:15:58.459077 100325 0.007601 | 0.007586 -0.000477 -0.315603 | 7.672202 -0.259650 -4.397850 | 7.664616 -0.259173 -4.082247
2024-5-19_14:15:58.470078 100325 0.007624 | 0.007599 -0.000606 -0.316738 | 7.672202 -0.259650 -4.397850 | 7.664602 -0.259043 -4.081112
2024-5-19_14:15:58.479042 100325 0.007796 | 0.007732 -0.000998 -0.297491 | 7.672311 -0.259935 -4.377850 | 7.664579 -0.258937 -4.080359
2024-5-19_14:15:58.490071 100325 0.007851 | 0.007781 -0.001047 -0.297858 | 7.672311 -0.259935 -4.377850 | 7.664530 -0.258888 -4.079993
