QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5016 -0.710874 177.568
100321 7.48816 -0.614727 177.653
100322 11.5274 -0.0232202 -179.926
100330 7.48749 0.0878111 177.071
MV_SC2005AM Start

 init 

2024-5-19_12:1:51.5897 100330 0.0121056 | 0.009187 -0.00788322 -0.238384 | 6.75407 -0.209935 -2.95113 | 6.74488 -0.202052 -2.71274
2024-5-19_12:1:51.5977 100330 0.0129349 | 0.0112388 -0.00640332 -0.219 | 6.75417 -0.210199 -2.93113 | 6.74293 -0.203796 -2.71213
2024-5-19_12:1:51.6097 100330 0.0132546 | 0.0114276 -0.0067151 -0.198592 | 6.75427 -0.210463 -2.91113 | 6.74284 -0.203748 -2.71254
2024-5-19_12:1:51.6187 100330 0.0136285 | 0.0115061 -0.00730375 -0.158375 | 6.75426 -0.21098 -2.87113 | 6.74275 -0.203677 -2.71275
2024-5-19_12:1:51.6377 100330 0.0133905 | 0.0114495 -0.00694368 -0.198426 | 6.75406 -0.210452 -2.91113 | 6.74261 -0.203509 -2.7127
2024-5-19_12:1:51.6497 100330 0.0131506 | 0.0113456 -0.00664959 -0.229078 | 6.75391 -0.210056 -2.94113 | 6.74256 -0.203407 -2.71205
2024-5-19_12:1:51.6577 100330 0.0131209 | 0.0113404 -0.00659963 -0.239821 | 6.75386 -0.209924 -2.95113 | 6.74252 -0.203325 -2.71131
2024-5-19_12:1:51.6697 100330 0.0136157 | 0.0114672 -0.00734108 -0.190184 | 6.75389 -0.210574 -2.90113 | 6.74243 -0.203233 -2.71094
2024-5-19_12:1:51.6777 100330 0.0140866 | 0.011693 -0.00785521 -0.160448 | 6.75405 -0.21097 -2.87113 | 6.74235 -0.203115 -2.71068
2024-5-19_12:1:51.6897 100330 0.0135921 | 0.0114871 -0.00726572 -0.210436 | 6.75379 -0.21031 -2.92113 | 6.74231 -0.203044 -2.71069
2024-5-19_12:1:51.6977 100330 0.0133674 | 0.011387 -0.00700156 -0.230436 | 6.75369 -0.210045 -2.94113 | 6.74231 -0.203044 -2.71069
2024-5-19_12:1:51.7097 100330 0.01338 | 0.0118395 -0.0062329 -0.23523 | 6.75369 -0.210045 -2.94113 | 6.74185 -0.203812 -2.7059
2024-5-19_12:1:51.7177 100330 0.0140921 | 0.0120835 -0.00725095 -0.165207 | 6.75383 -0.210959 -2.87113 | 6.74175 -0.203708 -2.70592
2024-5-19_12:1:51.7297 100330 0.0143132 | 0.0121613 -0.00754777 -0.165475 | 6.75382 -0.211176 -2.87113 | 6.74166 -0.203628 -2.70565
2024-5-19_12:1:51.7377 100330 0.0140876 | 0.0121467 -0.00713562 -0.186027 | 6.75373 -0.210695 -2.89113 | 6.74159 -0.203559 -2.7051
2024-5-19_12:1:51.7497 100330 0.0135515 | 0.0119383 -0.00641245 -0.247157 | 6.75343 -0.209902 -2.95113 | 6.74149 -0.20349 -2.70397
2024-5-19_12:1:51.7577 100330 0.0142127 | 0.0122549 -0.00719846 -0.19771 | 6.75368 -0.210563 -2.90113 | 6.74143 -0.203364 -2.70342
2024-5-19_12:1:51.7697 100330 0.0141463 | 0.0120908 -0.00734369 -0.197781 | 6.75347 -0.210552 -2.90113 | 6.74138 -0.203208 -2.70335
2024-5-19_12:1:51.7777 100330 0.0143923 | 0.0122211 -0.00760158 -0.187565 | 6.75352 -0.210684 -2.89113 | 6.7413 -0.203083 -2.70356
2024-5-19_12:1:51.7897 100330 0.0143468 | 0.0122153 -0.00752444 -0.19765 | 6.75347 -0.210552 -2.90113 | 6.74125 -0.203028 -2.70348
2024-5-19_12:1:51.7977 100330 0.0145718 | 0.0123156 -0.00778868 -0.17765 | 6.75357 -0.210816 -2.88113 | 6.74125 -0.203028 -2.70348
2024-5-19_12:1:51.8097 100330 0.0131826 | 0.0114799 -0.00648016 -0.22515 | 6.75332 -0.210156 -2.93113 | 6.74184 -0.203676 -2.70598
2024-5-19_12:1:51.8177 100330 0.0133694 | 0.0115848 -0.00667324 -0.214265 | 6.75337 -0.210288 -2.92113 | 6.74179 -0.203615 -2.70686
2024-5-19_12:1:51.8297 100330 0.01367 | 0.0117179 -0.00703987 -0.193087 | 6.75347 -0.210552 -2.90113 | 6.74175 -0.203512 -2.70804
2024-5-19_12:1:51.8377 100330 0.0136303 | 0.0117146 -0.00696809 -0.202105 | 6.75342 -0.21042 -2.91113 | 6.74171 -0.203452 -2.70902
2024-5-19_12:1:51.8497 100330 0.0137435 | 0.0116555 -0.00728241 -0.181121 | 6.75331 -0.210674 -2.89113 | 6.74165 -0.203391 -2.71001
2024-5-19_12:1:51.8577 100330 0.0139457 | 0.0117614 -0.00749332 -0.170617 | 6.75336 -0.210806 -2.88113 | 6.7416 -0.203312 -2.71051
2024-5-19_12:1:51.8697 100330 0.0142598 | 0.0119224 -0.00782297 -0.150787 | 6.75346 -0.21107 -2.86113 | 6.74154 -0.203247 -2.71034
2024-5-19_12:1:51.8777 100330 0.0141446 | 0.0119188 -0.00761648 -0.171244 | 6.75336 -0.210806 -2.88113 | 6.74144 -0.203189 -2.70988
2024-5-19_12:1:51.8897 100330 0.0146023 | 0.0121197 -0.008145 -0.131244 | 6.75356 -0.211334 -2.84113 | 6.74144 -0.203189 -2.70988
2024-5-19_12:1:51.8977 100330 0.0143724 | 0.0120192 -0.00788076 -0.151244 | 6.75346 -0.21107 -2.86113 | 6.74144 -0.203189 -2.70988
2024-5-19_12:1:51.9087 100330 0.012842 | 0.0110236 -0.00658758 -0.190575 | 6.75326 -0.210541 -2.90113 | 6.74223 -0.203954 -2.71055
2024-5-19_12:1:51.9177 100330 0.0125821 | 0.0109301 -0.00623228 -0.22084 | 6.75311 -0.210145 -2.93113 | 6.74218 -0.203913 -2.71029
2024-5-19_12:1:51.9297 100330 0.0128394 | 0.0110508 -0.00653694 -0.200721 | 6.75321 -0.210409 -2.91113 | 6.74216 -0.203872 -2.71041
