QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 0
MV_SC2005AM Start

 init 

2024-5-19_11:55:56.6754 100330 0.0111826 | -0.00742343 -0.00836322 -0.66631 | 6.76193 -0.212578 -2.6327 | 6.76935 -0.204215 -1.96639
2024-5-19_11:55:56.6834 100330 0.0117541 | -0.00844038 -0.00818039 -0.676427 | 6.75975 -0.212352 -2.6427 | 6.7682 -0.204171 -1.96627
2024-5-19_11:55:56.6954 100330 0.0138574 | -0.00996705 -0.00962739 -0.556427 | 6.75823 -0.213799 -2.5227 | 6.7682 -0.204171 -1.96627
2024-5-19_11:55:56.7054 100330 0.0147621 | -0.0119371 -0.00868478 -0.595073 | 6.75591 -0.213189 -2.5627 | 6.76784 -0.204504 -1.96762
2024-5-19_11:55:56.7154 100330 0.0150621 | -0.0111956 -0.0100761 -0.485405 | 6.75433 -0.214518 -2.4527 | 6.76553 -0.204441 -1.96729
2024-5-19_11:55:56.7234 100330 0.0147518 | -0.0116323 -0.00907223 -0.575446 | 6.75154 -0.213466 -2.5427 | 6.76317 -0.204393 -1.96725
2024-5-19_11:55:56.7354 100330 0.0151631 | -0.0107374 -0.0107064 -0.445681 | 6.75006 -0.215064 -2.4127 | 6.7608 -0.204357 -1.96702
2024-5-19_11:55:56.7434 100330 0.0151476 | -0.010743 -0.0106788 -0.446013 | 6.74773 -0.214965 -2.4127 | 6.75847 -0.204286 -1.96668
2024-5-19_11:55:56.7554 100330 0.0153564 | -0.0106228 -0.0110894 -0.416733 | 6.74554 -0.21526 -2.3827 | 6.75617 -0.20417 -1.96596
2024-5-19_11:55:56.7634 100330 0.0159985 | -0.00990625 -0.0125626 -0.307637 | 6.74397 -0.216615 -2.2727 | 6.75388 -0.204052 -1.96506
2024-5-19_11:55:56.7754 100330 0.0156668 | -0.00989437 -0.012147 -0.337779 | 6.7417 -0.216136 -2.3027 | 6.75159 -0.203989 -1.96492
2024-5-19_11:55:56.7834 100330 0.0167741 | -0.0107649 -0.0128642 -0.2778 | 6.73966 -0.216834 -2.2427 | 6.75043 -0.203969 -1.9649
2024-5-19_11:55:56.7954 100330 0.0178497 | -0.0113991 -0.0137357 -0.207916 | 6.73789 -0.217676 -2.1727 | 6.74929 -0.203941 -1.96478
2024-5-19_11:55:56.8034 100330 0.019277 | -0.0134721 -0.0137878 -0.197916 | 6.73582 -0.217728 -2.1627 | 6.74929 -0.203941 -1.96478
2024-5-19_11:55:56.8124 100330 0.0186465 | -0.0102503 -0.0155763 -0.0930536 | 6.73404 -0.219103 -2.0527 | 6.74429 -0.203527 -1.95964
2024-5-19_11:55:56.8244 100330 0.0198671 | -0.0120096 -0.0158263 -0.0826149 | 6.73005 -0.219308 -2.0427 | 6.74206 -0.203482 -1.96008
2024-5-19_11:55:56.8324 100330 0.0201336 | -0.0117228 -0.0163689 -0.0424645 | 6.72813 -0.219769 -2.0027 | 6.73985 -0.2034 -1.96023
2024-5-19_11:55:56.8434 100330 0.0200517 | -0.0115395 -0.0163985 -0.0219311 | 6.72611 -0.219746 -1.9827 | 6.73765 -0.203348 -1.96077
2024-5-19_11:55:56.8554 100330 0.02015 | -0.0113705 -0.0166354 -0.000814539 | 6.72409 -0.219942 -1.9627 | 6.73546 -0.203307 -1.96188
