QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:43:52.7124 100330 0.0164156 | 0.0144725 0.00774714 -1.03014 | 6.88127 -0.393976 9.38215 | 6.8668 -0.401723 10.4123
2024-5-19_13:43:52.7224 100330 0.0167626 | 0.0150242 0.00743352 -1.02197 | 6.88218 -0.394265 9.38215 | 6.86716 -0.401698 10.4041
2024-5-19_13:43:52.7344 100330 0.0154119 | 0.013053 0.00819429 -0.93312 | 6.8826 -0.394057 9.35215 | 6.86955 -0.402251 10.2853
2024-5-19_13:43:52.7424 100330 0.0154847 | 0.0128281 0.0086726 -0.948853 | 6.88298 -0.393635 9.32215 | 6.87015 -0.402308 10.271
2024-5-19_13:43:52.7544 100330 0.0154716 | 0.012777 0.00872457 -0.945182 | 6.88356 -0.39364 9.31215 | 6.87078 -0.402364 10.2573
2024-5-19_13:43:52.7634 100330 0.0153032 | 0.0126111 0.00866881 -0.931549 | 6.88402 -0.393785 9.31215 | 6.87141 -0.402454 10.2437
2024-5-19_13:43:52.7744 100330 0.0151597 | 0.0119794 0.00929044 -0.978066 | 6.88398 -0.393295 9.25215 | 6.872 -0.402586 10.2302
2024-5-19_13:43:52.7824 100330 0.0152553 | 0.0119348 0.00950183 -0.98549 | 6.88447 -0.393195 9.23215 | 6.87254 -0.402697 10.2176
2024-5-19_13:43:52.7944 100330 0.0151805 | 0.0117005 0.00967192 -0.995393 | 6.88476 -0.39313 9.21215 | 6.87306 -0.402802 10.2075
2024-5-19_13:43:52.8024 100330 0.0152797 | 0.0116465 0.00989087 -1.02106 | 6.88497 -0.392959 9.18215 | 6.87332 -0.40285 10.2032
2024-5-19_13:43:52.8144 100330 0.0154059 | 0.0112581 0.0105164 -1.08691 | 6.88485 -0.392366 9.11215 | 6.87359 -0.402882 10.1991
2024-5-19_13:43:52.8224 100330 0.0156444 | 0.0120102 0.0100251 -1.01691 | 6.8856 -0.392857 9.18215 | 6.87359 -0.402882 10.1991
2024-5-19_13:43:52.8324 100330 0.0160376 | 0.0132125 0.00909028 -0.942922 | 6.88568 -0.39269 9.13215 | 6.87246 -0.40178 10.0751
2024-5-19_13:43:52.8424 100330 0.0160584 | 0.0131766 0.00917866 -0.926568 | 6.88597 -0.392762 9.14215 | 6.87279 -0.40194 10.0687
2024-5-19_13:43:52.8544 100330 0.0160547 | 0.0128484 0.00962657 -0.952219 | 6.88593 -0.392412 9.11215 | 6.87308 -0.402038 10.0644
2024-5-19_13:43:52.8624 100330 0.0159746 | 0.0126579 0.00974498 -0.967993 | 6.88601 -0.392381 9.09215 | 6.87335 -0.402126 10.0601
2024-5-19_13:43:52.8744 100330 0.016002 | 0.0128526 0.00953274 -0.933454 | 6.88647 -0.392664 9.12215 | 6.87361 -0.402196 10.0556
2024-5-19_13:43:52.8824 100330 0.0159421 | 0.012456 0.00994978 -0.978258 | 6.8863 -0.392317 9.07215 | 6.87384 -0.402267 10.0504
2024-5-19_13:43:52.8944 100330 0.0161385 | 0.0124185 0.0103068 -0.974107 | 6.88648 -0.39207 9.07215 | 6.87406 -0.402376 10.0463
2024-5-19_13:43:52.9024 100330 0.0161414 | 0.0123704 0.0103691 -0.980442 | 6.88664 -0.392145 9.06215 | 6.87427 -0.402514 10.0426
2024-5-19_13:43:52.9144 100330 0.0161345 | 0.0125351 0.0101585 -0.960442 | 6.8868 -0.392355 9.08215 | 6.87427 -0.402514 10.0426
2024-5-19_13:43:52.9224 100330 0.0162178 | 0.0125321 0.0102939 -0.990442 | 6.8868 -0.39222 9.05215 | 6.87427 -0.402514 10.0426
2024-5-19_13:43:52.9344 100330 0.01235 | 0.00890695 0.00855499 -0.908955 | 6.88644 -0.391585 9.01215 | 6.87753 -0.40014 9.9211
2024-5-19_13:43:52.9424 100330 0.0123236 | 0.00903778 0.00837792 -0.876255 | 6.88668 -0.391901 9.04215 | 6.87764 -0.400279 9.9184
