QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5205 -0.706748 17.9628
100321 7.52244 -0.618121 178.971
100322 11.5445 -0.02752 179.389
100330 7.52732 0.0835403 179.26
MV_SC2005AM Start

 init 

2024-5-19_13:33:32.407 100330 0.0243207 | 0.0107966 -0.0217929 0.482551 | 6.75808 -0.302652 2.69939 | 6.74728 -0.280859 2.21684
2024-5-19_13:33:32.415 100330 0.0243207 | 0.0107966 -0.0217929 0.482551 | 6.75808 -0.302652 2.69939 | 6.74728 -0.280859 2.21684
2024-5-19_13:33:32.427 100330 0.0242553 | 0.01168 -0.0212578 0.495959 | 6.75815 -0.302788 2.70939 | 6.74647 -0.281531 2.21344
2024-5-19_13:33:32.435 100330 0.0235721 | 0.010821 -0.0209416 0.487013 | 6.75808 -0.302652 2.69939 | 6.74726 -0.281711 2.21238
2024-5-19_13:33:32.447 100330 0.0239717 | 0.0108602 -0.0213705 0.506976 | 6.75821 -0.302924 2.71939 | 6.74735 -0.281554 2.21242
2024-5-19_13:33:32.455 100330 0.0234692 | 0.0105553 -0.0209616 0.466555 | 6.75795 -0.30238 2.67939 | 6.74739 -0.281419 2.21284
2024-5-19_13:33:32.467 100330 0.0236808 | 0.0107519 -0.0210993 0.466234 | 6.75816 -0.30237 2.67939 | 6.74741 -0.281271 2.21316
2024-5-19_13:33:32.475 100330 0.0236465 | 0.0106648 -0.0211049 0.456583 | 6.7581 -0.302234 2.66939 | 6.74743 -0.281129 2.21281
2024-5-19_13:33:32.4869 100330 0.023877 | 0.0107271 -0.0213317 0.467414 | 6.75816 -0.30237 2.67939 | 6.74744 -0.281039 2.21198
2024-5-19_13:33:32.495 100330 0.0239447 | 0.010719 -0.0214116 0.467574 | 6.75816 -0.30237 2.67939 | 6.74744 -0.280959 2.21182
2024-5-19_13:33:32.507 100330 0.0244605 | 0.0108862 -0.0219045 0.497347 | 6.75836 -0.302778 2.70939 | 6.74747 -0.280874 2.21205
2024-5-19_13:33:32.515 100330 0.0240074 | 0.0106894 -0.0214963 0.467347 | 6.75816 -0.30237 2.67939 | 6.74747 -0.280874 2.21205
2024-5-19_13:33:32.527 100330 0.0241584 | 0.010755 -0.0216324 0.477347 | 6.75823 -0.302506 2.68939 | 6.74747 -0.280874 2.21205
2024-5-19_13:33:32.535 100330 0.0232662 | 0.0105299 -0.0207469 0.459725 | 6.7581 -0.302234 2.66939 | 6.74757 -0.281487 2.20967
2024-5-19_13:33:32.547 100330 0.0235342 | 0.0105325 -0.0210457 0.469113 | 6.75816 -0.30237 2.67939 | 6.74763 -0.281324 2.21028
2024-5-19_13:33:32.555 100330 0.0234399 | 0.0105636 -0.0209246 0.44879 | 6.75824 -0.302088 2.65939 | 6.74768 -0.281164 2.21061
2024-5-19_13:33:32.566 100330 0.0237119 | 0.0105905 -0.0212155 0.458945 | 6.75831 -0.302224 2.66939 | 6.74772 -0.281009 2.21045
2024-5-19_13:33:32.575 100330 0.0236589 | 0.0104711 -0.0212155 0.449485 | 6.75824 -0.302088 2.65939 | 6.74777 -0.280873 2.20991
2024-5-19_13:33:32.587 100330 0.0237683 | 0.0103782 -0.0213828 0.44964 | 6.75824 -0.302088 2.65939 | 6.74787 -0.280705 2.20975
2024-5-19_13:33:32.595 100330 0.024337 | 0.01053 -0.0219411 0.480189 | 6.75844 -0.302496 2.68939 | 6.74791 -0.280555 2.20921
2024-5-19_13:33:32.603 100330 0.0242958 | 0.0104711 -0.0219236 0.471879 | 6.75837 -0.30236 2.67939 | 6.7479 -0.280437 2.20752
2024-5-19_13:33:32.6159 100330 0.0245978 | 0.0106022 -0.0221956 0.491879 | 6.75851 -0.302632 2.69939 | 6.7479 -0.280437 2.20752
2024-5-19_13:33:32.626 100330 0.023661 | 0.0117846 -0.0205175 0.503593 | 6.75857 -0.302768 2.70939 | 6.74679 -0.282251 2.2058
2024-5-19_13:33:32.637 100330 0.0232762 | 0.0115711 -0.0201963 0.473845 | 6.75837 -0.30236 2.67939 | 6.7468 -0.282164 2.20555
2024-5-19_13:33:32.647 100330 0.0234824 | 0.0116276 -0.0204015 0.484098 | 6.75844 -0.302496 2.68939 | 6.74681 -0.282095 2.2053
2024-5-19_13:33:32.6569 100330 0.023111 | 0.0114029 -0.020102 0.454351 | 6.75824 -0.302088 2.65939 | 6.74684 -0.281986 2.20504
2024-5-19_13:33:32.666 100330 0.0234889 | 0.0114934 -0.0204848 0.473739 | 6.75837 -0.30236 2.67939 | 6.74688 -0.281875 2.20566
2024-5-19_13:33:32.677 100330 0.0236871 | 0.011537 -0.0206876 0.48274 | 6.75844 -0.302496 2.68939 | 6.7469 -0.281809 2.20665
2024-5-19_13:33:32.685 100330 0.0237434 | 0.0115328 -0.0207544 0.482029 | 6.75844 -0.302496 2.68939 | 6.74691 -0.281742 2.20737
2024-5-19_13:33:32.697 100330 0.0241163 | 0.0116673 -0.0211062 0.502477 | 6.75857 -0.302768 2.70939 | 6.7469 -0.281662 2.20692
2024-5-19_13:33:32.705 100330 0.023875 | 0.0115561 -0.0208919 0.4827 | 6.75844 -0.302496 2.68939 | 6.74688 -0.281604 2.20669
2024-5-19_13:33:32.717 100330 0.0236279 | 0.0114522 -0.020667 0.462922 | 6.75831 -0.302224 2.66939 | 6.74686 -0.281557 2.20647
2024-5-19_13:33:32.725 100330 0.0240802 | 0.0116489 -0.0210751 0.492922 | 6.75851 -0.302632 2.69939 | 6.74686 -0.281557 2.20647
2024-5-19_13:33:32.737 100330 0.0230501 | 0.0124328 -0.0194097 0.471545 | 6.75837 -0.30236 2.67939 | 6.74594 -0.282951 2.20785
2024-5-19_13:33:32.745 100330 0.0233322 | 0.0125155 -0.0196914 0.481992 | 6.75844 -0.302496 2.68939 | 6.74592 -0.282805 2.2074
2024-5-19_13:33:32.757 100330 0.0231825 | 0.0124116 -0.0195801 0.462442 | 6.75831 -0.302224 2.66939 | 6.7459 -0.282644 2.20695
2024-5-19_13:33:32.765 100330 0.0233474 | 0.0124373 -0.0197589 0.463458 | 6.75831 -0.302224 2.66939 | 6.74587 -0.282465 2.20594
2024-5-19_13:33:32.777 100330 0.0231937 | 0.0123454 -0.0196351 0.4441 | 6.75818 -0.301952 2.64939 | 6.74583 -0.282317 2.20529
2024-5-19_13:33:32.7849 100330 0.0235059 | 0.0124758 -0.0199219 0.454542 | 6.75824 -0.302088 2.65939 | 6.74577 -0.282166 2.20485
2024-5-19_13:33:32.797 100330 0.0236537 | 0.0125263 -0.0200646 0.454507 | 6.75824 -0.302088 2.65939 | 6.74572 -0.282024 2.20489
2024-5-19_13:33:32.805 100330 0.0237276 | 0.0125435 -0.020141 0.454346 | 6.75824 -0.302088 2.65939 | 6.7457 -0.281947 2.20505
2024-5-19_13:33:32.817 100330 0.0238016 | 0.0125616 -0.0202169 0.454185 | 6.75824 -0.302088 2.65939 | 6.74568 -0.281871 2.20521
2024-5-19_13:33:32.825 100330 0.0244023 | 0.0128238 -0.020761 0.494185 | 6.75851 -0.302632 2.69939 | 6.74568 -0.281871 2.20521
2024-5-19_13:33:32.837 100330 0.0236992 | 0.012378 -0.0202098 0.451046 | 6.75824 -0.302088 2.65939 | 6.74587 -0.281878 2.20835
2024-5-19_13:33:32.845 100330 0.0238963 | 0.0124512 -0.0203962 0.461204 | 6.75831 -0.302224 2.66939 | 6.74586 -0.281828 2.20819
2024-5-19_13:33:32.857 100330 0.0239879 | 0.0124554 -0.0205007 0.460976 | 6.75831 -0.302224 2.66939 | 6.74585 -0.281723 2.20842
2024-5-19_13:33:32.865 100330 0.0245566 | 0.0126655 -0.0210383 0.490941 | 6.75851 -0.302632 2.69939 | 6.74584 -0.281594 2.20845
2024-5-19_13:33:32.876 100330 0.0243516 | 0.0125596 -0.0208628 0.47119 | 6.75837 -0.30236 2.67939 | 6.74581 -0.281497 2.2082
2024-5-19_13:33:32.885 100330 0.025043 | 0.0128588 -0.0214896 0.511732 | 6.75864 -0.302904 2.71939 | 6.74578 -0.281415 2.20766
2024-5-19_13:33:32.897 100330 0.0247098 | 0.0127101 -0.0211903 0.48189 | 6.75844 -0.302496 2.68939 | 6.74573 -0.281306 2.20751
2024-5-19_13:33:32.905 100330 0.0246564 | 0.0127051 -0.021131 0.472626 | 6.75837 -0.30236 2.67939 | 6.74567 -0.281229 2.20677
2024-5-19_13:33:32.917 100330 0.0248473 | 0.0127945 -0.0213 0.482753 | 6.75844 -0.302496 2.68939 | 6.74565 -0.281196 2.20664
2024-5-19_13:33:32.925 100330 0.025148 | 0.0129257 -0.021572 0.502753 | 6.75857 -0.302768 2.70939 | 6.74565 -0.281196 2.20664
2024-5-19_13:33:32.937 100330 0.0245466 | 0.0126634 -0.021028 0.462753 | 6.75831 -0.302224 2.66939 | 6.74565 -0.281196 2.20664
2024-5-19_13:33:32.945 100330 0.0234569 | 0.0124299 -0.0198928 0.468612 | 6.75837 -0.30236 2.67939 | 6.74594 -0.282467 2.21078
2024-5-19_13:33:32.957 100330 0.0234128 | 0.0124235 -0.0198448 0.458386 | 6.75831 -0.302224 2.66939 | 6.74589 -0.282379 2.21101
2024-5-19_13:33:32.965 100330 0.0238331 | 0.0126257 -0.0202141 0.478256 | 6.75844 -0.302496 2.68939 | 6.74581 -0.282282 2.21114
2024-5-19_13:33:32.9769 100330 0.0233376 | 0.0124155 -0.019761 0.438222 | 6.75818 -0.301952 2.64939 | 6.74576 -0.282191 2.21117
2024-5-19_13:33:32.9851 100330 0.0239077 | 0.0126688 -0.0202751 0.468187 | 6.75837 -0.30236 2.67939 | 6.74571 -0.282085 2.21121
2024-5-19_13:33:32.997 100330 0.0242155 | 0.0128002 -0.0205559 0.47777 | 6.75844 -0.302496 2.68939 | 6.74564 -0.28194 2.21163
2024-5-19_13:33:33.005 100330 0.0245348 | 0.0129368 -0.0208469 0.48735 | 6.75851 -0.302632 2.69939 | 6.74557 -0.281785 2.21204
2024-5-19_13:33:33.017 100330 0.0246849 | 0.0130025 -0.0209829 0.49735 | 6.75857 -0.302768 2.70939 | 6.74557 -0.281785 2.21204
2024-5-19_13:33:33.025 100330 0.0233143 | 0.0127411 -0.0195248 0.456479 | 6.75831 -0.302224 2.66939 | 6.74557 -0.282699 2.21292
2024-5-19_13:33:33.037 100330 0.0234406 | 0.0127997 -0.0196374 0.456832 | 6.75831 -0.302224 2.66939 | 6.74551 -0.282587 2.21256
2024-5-19_13:33:33.045 100330 0.0235802 | 0.0128555 -0.0197677 0.457085 | 6.75831 -0.302224 2.66939 | 6.74545 -0.282457 2.21231
2024-5-19_13:33:33.057 100330 0.0240128 | 0.0130424 -0.0201621 0.477626 | 6.75844 -0.302496 2.68939 | 6.7454 -0.282334 2.21177
2024-5-19_13:33:33.065 100330 0.0243101 | 0.0131662 -0.020436 0.488842 | 6.75851 -0.302632 2.69939 | 6.74534 -0.282196 2.21055
2024-5-19_13:33:33.077 100330 0.0239058 | 0.012985 -0.0200718 0.449192 | 6.75824 -0.302088 2.65939 | 6.74526 -0.282016 2.2102
2024-5-19_13:33:33.085 100330 0.0248486 | 0.0133887 -0.0209332 0.499158 | 6.75857 -0.302768 2.70939 | 6.74518 -0.281835 2.21024
2024-5-19_13:33:33.097 100330 0.0248558 | 0.0133946 -0.0209379 0.489126 | 6.75851 -0.302632 2.69939 | 6.74511 -0.281694 2.21027
2024-5-19_13:33:33.105 100330 0.0247176 | 0.0133397 -0.0208089 0.468803 | 6.75837 -0.30236 2.67939 | 6.74503 -0.281551 2.21059
2024-5-19_13:33:33.117 100330 0.0247176 | 0.0133397 -0.0208089 0.468803 | 6.75837 -0.30236 2.67939 | 6.74503 -0.281551 2.21059
2024-5-19_13:33:33.125 100330 0.0238902 | 0.0129254 -0.0200917 0.470599 | 6.75837 -0.30236 2.67939 | 6.74545 -0.282269 2.2088
2024-5-19_13:33:33.137 100330 0.0238903 | 0.0129423 -0.0200809 0.461236 | 6.75831 -0.302224 2.66939 | 6.74537 -0.282143 2.20816
